order_code,client_id,branch_id,technician_id,equipment_id,service_type_id,service_date,hours,cost
WO1001,1,1,1,1,1,2026-05-01,2,120
WO1002,1,1,1,1,1,2026-05-02,3,180
WO1003,2,2,2,2,2,2026-05-03,4,250
WO1004,2,2,2,2,3,2026-05-04,2,150
WO1005,3,3,3,3,3,2026-05-05,5,500
WO1006,3,3,3,3,3,2026-05-06,4,450
WO1007,4,4,4,4,2,2026-05-07,2,130
WO1008,4,4,4,4,2,2026-05-08,3,200
WO1009,5,5,5,5,1,2026-05-09,2,140
WO1010,5,5,5,5,1,2026-05-10,3,190
WO1011,6,6,1,2,3,2026-05-11,6,550
WO1012,6,6,1,2,3,2026-05-12,5,520
WO1013,7,7,2,1,2,2026-05-13,2,160
WO1014,7,7,2,1,2,2026-05-14,3,210
WO1015,8,8,3,3,1,2026-05-15,2,125
WO1016,8,8,3,3,1,2026-05-16,2,135
WO1017,9,9,4,4,3,2026-05-17,4,400
WO1018,9,9,4,4,3,2026-05-18,5,430
WO1019,10,10,5,5,2,2026-05-19,3,220
WO1020,10,10,5,5,2,2026-05-20,4,260
